full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
affaan-m/everything-claude-code,142559,142559,21685,150,150,42,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,49037,49037,7931,13,13,2,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8510,8510,14170,1,1,0,https://github.com/ChinaSiro/claude-code-sourcemap
hesreallyhim/awesome-claude-code,36931,36931,2929,18,18,1,https://github.com/hesreallyhim/awesome-claude-code
pengchengneo/Claude-Code,1053,1053,2002,2,2,0,https://github.com/pengchengneo/Claude-Code
musistudio/claude-code-router,31633,31633,2502,3,3,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24234,24234,2382,9,9,3,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,32414,32414,2973,21,21,4,https://github.com/shanraisshan/claude-code-best-practice
LING71671/Open-ClaudeCode,662,662,983,1,1,0,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,2791,2791,3593,0,0,1,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2056,2056,3366,0,0,0,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,16463,16463,1860,8,8,1,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6914,6914,1672,1,1,0,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,8348,8348,1550,3,3,1,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9422,9422,1203,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
Donchitos/Claude-Code-Game-Studios,8251,8251,1245,6,6,0,https://github.com/Donchitos/Claude-Code-Game-Studios
frankbria/ralph-claude-code,8501,8501,629,0,0,0,https://github.com/frankbria/ralph-claude-code
hangsman/claude-code-source,731,731,1692,-1,-1,0,https://github.com/hangsman/claude-code-source
ykdojo/claude-code-tips,7183,7183,504,1,1,0,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5724,5724,512,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
chauncygu/collection-claude-code-source-code,1680,1680,1890,12,12,7,https://github.com/chauncygu/collection-claude-code-source-code
pedrohcgs/claude-code-my-workflow,850,850,1694,0,0,4,https://github.com/pedrohcgs/claude-code-my-workflow
liuup/claude-code-analysis,1003,1003,984,0,0,0,https://github.com/liuup/claude-code-analysis
OneRedOak/claude-code-workflows,3770,3770,554,0,0,0,https://github.com/OneRedOak/claude-code-workflows
leaked-claude-code/leaked-claude-code,827,827,1014,1,1,2,https://github.com/leaked-claude-code/leaked-claude-code
huangserva/claude-code-cli,518,518,1241,0,0,0,https://github.com/huangserva/claude-code-cli
qwibitai/nanoclaw,26676,26676,10936,13,13,24,https://github.com/qwibitai/nanoclaw
1rgs/claude-code-proxy,3378,3378,446,1,1,0,https://github.com/1rgs/claude-code-proxy
lintsinghua/claude-code-book,2175,2175,540,1,1,0,https://github.com/lintsinghua/claude-code-book
777genius/claude-code-source-code,884,884,1127,3,3,1,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3476,3476,593,0,0,0,https://github.com/disler/claude-code-hooks-mastery
anthropics/skills,111574,111574,12638,35,35,3,https://github.com/anthropics/skills
zebbern/claude-code-guide,3861,3861,365,0,0,0,https://github.com/zebbern/claude-code-guide
sickn33/antigravity-awesome-skills,31093,31093,5190,22,22,4,https://github.com/sickn33/antigravity-awesome-skills
Maciek-roboblog/Claude-Code-Usage-Monitor,7380,7380,364,3,3,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,2336,2336,401,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
kodu-ai/claude-coder,5281,5281,198,0,0,0,https://github.com/kodu-ai/claude-coder
zstmfhy/Claude-code,188,188,284,0,0,0,https://github.com/zstmfhy/Claude-code
lorryjovens-hub/claude-code-rust,1153,1153,462,4,4,1,https://github.com/lorryjovens-hub/claude-code-rust
fuergaosi233/claude-code-proxy,2346,2346,329,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2366,2366,320,2,2,0,https://github.com/RichardAtCT/claude-code-telegram
FlorianBruniaux/claude-code-ultimate-guide,2982,2982,422,3,3,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
