full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
affaan-m/everything-claude-code,141413,141413,21401,254,254,61,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,48831,48831,7894,63,63,20,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8479,8479,14136,6,6,3,https://github.com/ChinaSiro/claude-code-sourcemap
hesreallyhim/awesome-claude-code,36824,36824,2917,26,26,4,https://github.com/hesreallyhim/awesome-claude-code
pengchengneo/Claude-Code,1040,1040,1995,4,4,1,https://github.com/pengchengneo/Claude-Code
musistudio/claude-code-router,31593,31593,2499,14,14,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24207,24207,2381,8,8,0,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,32254,32254,2950,37,37,2,https://github.com/shanraisshan/claude-code-best-practice
LING71671/Open-ClaudeCode,654,654,969,7,7,4,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,2779,2779,3570,7,7,5,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2044,2044,3353,5,5,3,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,16378,16378,1851,23,23,1,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6905,6905,1671,3,3,2,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,8315,8315,1540,5,5,2,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9417,9417,1203,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
Donchitos/Claude-Code-Game-Studios,8213,8213,1240,7,7,2,https://github.com/Donchitos/Claude-Code-Game-Studios
frankbria/ralph-claude-code,8495,8495,629,7,7,0,https://github.com/frankbria/ralph-claude-code
hangsman/claude-code-source,731,731,1686,0,0,0,https://github.com/hangsman/claude-code-source
ykdojo/claude-code-tips,7175,7175,502,4,4,1,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5723,5723,511,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
pedrohcgs/claude-code-my-workflow,848,848,1678,1,1,5,https://github.com/pedrohcgs/claude-code-my-workflow
chauncygu/collection-claude-code-source-code,1624,1624,1860,13,13,11,https://github.com/chauncygu/collection-claude-code-source-code
OneRedOak/claude-code-workflows,3771,3771,554,2,2,0,https://github.com/OneRedOak/claude-code-workflows
